id,sku,short_description,price,list_price,rating_average,review_count,quantity_sold,inventory_status,name,categories
335337,2427751030458,"TIKI KHUYÊN ĐỌC ĐÁNH GIÁ SÁCH TÔI TÀI GIỎI, BẠN CŨNG THẾ ! TỪ TIKI.VN: Khi bạn cầm trên tay quyển sách này, có nghĩa là bạn đã có chiếc chìa khóa đến sự thành công cùng bảng hướng dẫn sử dụng.   Tr...",121000,135000,4.8,13,"{'text': 'Đã bán 186', 'value': 186}",available,Tôi Tài Giỏi - Bạn Cũng Thế,Sách tiếng Việt
377644,2607680556780,"Chờ Đến Mẫu Giáo Thì Đã Muộn Chờ đến mẫu giáo thì đã muộn là cuốn sách bàn về phương pháp giáo dục trẻ trong giai đoạn từ 0 đến 3 tuổi của tác giả Ibuka Masaru, người sáng lập tập đoàn Sony đồng thời...",54100,69000,4.7,685,"{'text': 'Đã bán 5000+', 'value': 37168}",available,Chờ Đến Mẫu Giáo Thì Đã Muộn,Sách tiếng Việt
378448,2518407786529,"Nhà Giả Kim Tất cả những trải nghiệm trong chuyến phiêu du theo đuổi vận mệnh của mình đã giúp Santiago thấu hiểu được ý nghĩa sâu xa nhất của hạnh phúc, hòa hợp với vũ trụ và con người. Tiểu thuyết...",64950,64950,5.0,101,"{'text': 'Đã bán 660', 'value': 660}",available,Nhà Giả Kim,Tiểu Thuyết
381234,2436338861101,"Ngôn Ngữ Cơ Thể - Body Language (Tái Bản)Angelina Jolie luôn phơi bày bờ môi gợi cảm 'chết người', Adolf Hitler thích sử dụng bàn tay úp ngược, vươn thẳng khi khẳng định quyền lực. Cuốn Ngôn ngữ cơ t...",141800,198000,4.7,1140,"{'text': 'Đã bán 5000+', 'value': 31282}",available,Cuốn Sách Hoàn Hảo Về Ngôn Ngữ Cơ Thể - Body Language (Tái Bản),Sách tư duy - Kỹ năng sống
394013,2512152623931,"Trọn Bộ 6 Tập: Tru Tiên (Tái Bản)Tiêu Đỉnh tên thật là Trương Tiển, sinh năm 1976 tại Phúc Châu. Anh chọn bút danh Tiêu Đỉnh vì thấy rằng trong truyện kiếm hiệp, những người họ Tiêu thường có võ công...",332000,780000,4.8,487,"{'text': 'Đã bán 3905', 'value': 3905}",available,Trọn Bộ 6 Tập: Tru Tiên (Tái Bản),Truyện kiếm hiệp
394421,2203112740842,"Giấy A4 Double A DL80  - Chất lượng hàng đầu. - Thân thiện với môi trường. - Phù hợp cho việc sao chép, in ấn với những loại mực hộp, mực in laser và cả những bản in off-set. Thông tin sản phẩm: ...",83600,108000,5.0,152,"{'text': 'Đã bán 1828', 'value': 1828}",available,Giấy Photo A4 Double A DL80,Giấy in - Fax - Photo
394434,2201531894863,"LƯU Ý BAO BÌ GIẤY GÓI THAY ĐÔI TÙY DỢT NHẬP HÀNGGiấy Excel A4 DL70+72 GSM- Chất lượng hàng đầu.- Thân thiện với môi trường.- Phù hợp cho việc sao chép, in ấn với những loại mực hộp, mực in laser v...",63800,110000,5.0,115,"{'text': 'Đã bán 1202', 'value': 1202}",available,Giấy Excel A4 DL70 ,Giấy in - Fax - Photo
421620,2429761133235,Em Phải Đến Harvard Học Kinh Tế (Tái Bản) Em phải đến Harvard học kinh tế là cuốn sách tường thuật và tổng kết lại những kinh nghiệm nuôi dạy con cái từ lúc lọt lòng cho đến khi thành tài của Lưu Vệ ...,88000,98000,4.7,27,"{'text': 'Đã bán 188', 'value': 188}",available,Em Phải Đến Harvard Học Kinh Tế (Tái Bản),Sách khởi nghiệp
435979,2249970070301,Tập Học Sinh Tiki Lan Tỏa Niềm Vui 96 Trang (Lốc 10 Cuốn) - Mẫu Ngẫu NhiênTập Học Sinh Tiki Lan Tỏa Niềm Vui 96 Trang (Lốc 10 Cuốn) sẽ là sự lựa chọn lý tưởng dành cho các em học sinh trong năm học m...,51000,79000,4.6,681,"{'text': 'Đã bán 5000+', 'value': 72634}",available,Tập Học Sinh Tiki Lan Tỏa Niềm Vui 96 Trang (Lốc 10 Cuốn) - Mẫu Ngẫu Nhiên,CHƯƠNG TRÌNH KHUYẾN MẠI KHÁC
447164,2561986156115,"Tôi Vẽ - Phương Pháp Tự Học Vẽ Truyện Tranh “Tôi Vẽ"" với 300 trang sách bao gồm những kỹ năng cơ bản cần có của một họa sĩ truyện tranh, từ tạo hình nhân vật, thiết kế bối cảnh, biểu cảm, các kỹ thuậ...",68100,100000,5.0,168,"{'text': 'Đã bán 1210', 'value': 1210}",available,Tôi Vẽ - Phương Pháp Tự Học Vẽ Truyện Tranh,Tranh Truyện
